IMIĘ_PIERWSZE,PŁEĆ,LICZBA_WYSTĄPIEŃ
ADI,KOBIETA,381
LANA,KOBIETA,380
VIVIENNE,KOBIETA,380
LARISSA,KOBIETA,377
NADEZHDA,KOBIETA,376
ESTHER,KOBIETA,375
IWETTA,KOBIETA,374
LORENA,KOBIETA,372
YESENIIA,KOBIETA,369
SOFYA,KOBIETA,366
EMILIE,KOBIETA,365
LUBOV,KOBIETA,364
MARYAM,KOBIETA,363
YEVDOKIIA,KOBIETA,362
YULIANNA,KOBIETA,360
LUBOW,KOBIETA,360
IWETA,KOBIETA,359
TEONA,KOBIETA,359
MEGAN,KOBIETA,358
BENIGNA,KOBIETA,357
NARCYZA,KOBIETA,356
NICOLETTA,KOBIETA,355
ZEYNEP,KOBIETA,354
LEAH,KOBIETA,354
THỊ,KOBIETA,354
ŻANNA,KOBIETA,353
JOHANNA,KOBIETA,353
ROSA,KOBIETA,352
CYRYLA,KOBIETA,351
LIUBOMYRA,KOBIETA,350
LYDIA,KOBIETA,350
MALVINA,KOBIETA,348
NILA,KOBIETA,346
FATMA,KOBIETA,345
OLESYA,KOBIETA,343
ASTRID,KOBIETA,342
CAMILLA,KOBIETA,342
CORNELIA,KOBIETA,342
REBECCA,KOBIETA,340
KESJA,KOBIETA,337
KATARINA,KOBIETA,335
ANICETA,KOBIETA,334
KATIA,KOBIETA,333
ALESSIA,KOBIETA,333
LIIA,KOBIETA,333
NADEJDA,KOBIETA,332
BIBIANNA,KOBIETA,332
ELENI,KOBIETA,331
WALTRAUDA,KOBIETA,329
ZOSIA,KOBIETA,329
KARINE,KOBIETA,324
ALESSANDRA,KOBIETA,323
BELLA,KOBIETA,322
PETRA,KOBIETA,321
STEPANIIA,KOBIETA,321
THI,KOBIETA,320
VLADLENA,KOBIETA,320
SHIRA,KOBIETA,316
ANDRZELIKA,KOBIETA,316
RACHELA,KOBIETA,315
SOFIE,KOBIETA,315
ESTER,KOBIETA,315
SOLOMIA,KOBIETA,313
SUSANNE,KOBIETA,313
URSULA,KOBIETA,312
SUSAN,KOBIETA,312
FLORA,KOBIETA,311
MARINE,KOBIETA,311
NASTAZJA,KOBIETA,310
AŁŁA,KOBIETA,309
ARIA,KOBIETA,308
CYNTHIA,KOBIETA,308
MARIAMI,KOBIETA,308
VLADISLAVA,KOBIETA,307
LUDMYLA,KOBIETA,307
YASMINA,KOBIETA,307
ASIA,KOBIETA,306
RONI,KOBIETA,306
ZARA,KOBIETA,304
ANAT,KOBIETA,304
SONJA,KOBIETA,303
ANJA,KOBIETA,302
SZARLOTA,KOBIETA,301
SCHOLASTYKA,KOBIETA,300
VIYALETA,KOBIETA,299
LIUBA,KOBIETA,299
AYA,KOBIETA,299
DANIELLA,KOBIETA,297
NOELIA,KOBIETA,296
KHATUNA,KOBIETA,294
HERMINA,KOBIETA,293
ELIF,KOBIETA,293
ADAMINA,KOBIETA,293
MARÍA,KOBIETA,293
KIARA,KOBIETA,293
LEONORA,KOBIETA,292
RADA,KOBIETA,292
EVELYN,KOBIETA,292
KARMEN,KOBIETA,292
ILZA,KOBIETA,291
BLANCA,KOBIETA,289
VIVIANA,KOBIETA,289
SWITŁANA,KOBIETA,289
WERA,KOBIETA,288
BEATRIZ,KOBIETA,288
MERVE,KOBIETA,288
SALOME,KOBIETA,287
TAL,KOBIETA,286
DEBORAH,KOBIETA,284
JULIIA,KOBIETA,284
MODESTA,KOBIETA,283
IRIS,KOBIETA,282
DORIS,KOBIETA,281
KATRIN,KOBIETA,281
ANI,KOBIETA,281
AMALIIA,KOBIETA,280
REBEKA,KOBIETA,280
GABRIELLE,KOBIETA,278
PAULINE,KOBIETA,277
LUDWINA,KOBIETA,277
YVONNE,KOBIETA,277
NELI,KOBIETA,275
SUSANA,KOBIETA,274
ARLENA,KOBIETA,273
INGRYDA,KOBIETA,272
LILLI,KOBIETA,272
NONNA,KOBIETA,271
VIVIAN,KOBIETA,271
LEONA,KOBIETA,271
KRISTINE,KOBIETA,271
ADEL,KOBIETA,267
DANIELLE,KOBIETA,267
